mw_bin_label	bin_start_kda	bin_end_kda	protein_count	marker_count	signaling_prefix_count	family_count	families	marker_genes	signaling_genes	examples_audit_families	audit_burden_score	audit_priority	bin_center_kda	gaussian_effective_candidate_number	gaussian_identity_entropy_bits	gaussian_ambiguity_percentile	gaussian_marker_gaussian_mass	gaussian_signaling_gaussian_mass	gaussian_family_membership_gaussian_mass	gaussian_contextual_audit_burden_index	gaussian_contextual_audit_burden_score_0_100
152.0-154.0 kDa	152.0	154.0	28	0	1	5	Autophagy; Hedgehog; Protein_kinases; Protein_phosphatases; Toll_Imd_NFkB		Tollo	Dmel\CG4301, rad50, Atg17 [Autophagy], Nlg4, Dme_CG7627, rha, Dmel\CG10132, SNF4Agamma [Protein_kinases], ATP8A, Dred, drosha, Hipk [Protein_kinases], PTP-ER, l(2)03659, ci [Hedgehog], Tollo [Toll_Imd_NFkB], Oseg6, CG2691	6.65	elevated	153.0	56.93526756647135	5.831250676795731	0.9399488491048593	0.0	0.9568999243744495	5.436531233253042	0.521480433966805	52.1480433966805
154.0-156.0 kDa	154.0	156.0	23	0	0	0				CT23878, unc-13-4A, if, Cc2d2a, Taf3, CG17465, CG8154, nolo, Polr3A, Dmel\CG42326, 18w, Grip163, dtn, jing, rdog, Pld, Ask1, Dmel\CG10211	1.15	routine	155.0	48.565152585169365	5.601849589271696	0.9355498721227622	0.0	0.23788458100776858	1.3495357051525718	0.40357129795674535	40.35712979567453
156.0-158.0 kDa	156.0	158.0	22	0	0	1	Ubiquitin_proteasome			tim, Dmel\CG10254, Dmel\CG43795, PolrMT, wde, Rif1, Hecw [Ubiquitin_proteasome], Cftr, Br140, Muc68D, bsf, rho-5, Ice1, Cap-D2, Girdin, pum, thr, Cenp-C	1.85	routine	157.0	50.58317531308012	5.660585698607506	0.9362659846547314	0.0	0.02637020491131483	1.540927833087738	0.38387574293764254	38.38757429376425
158.0-160.0 kDa	158.0	160.0	28	0	1	1	Protein_kinases		Egfr	lqfR, fred, Sik3 [Protein_kinases], Cont, CG7457, Tep2, mus101, Glut1, Tomosyn, Hmr, sle, Gmap, TppII, svr, Chs2, CG11846, NSD, Tango1	3.65	routine	159.0	51.967382307798474	5.699534484532556	0.9376982097186701	0.0	0.9222021879490494	2.211148552287184	0.49012540062453486	49.01254006245349
160.0-162.0 kDa	160.0	162.0	17	0	1	2	Protein_kinases; Toll_Imd_NFkB		Toll-7	Ptp52F, rdgA, Hcf, Nup160, Rok [Protein_kinases], MnM, sws, clu, FAM21, Pde11, Toll-7 [Toll_Imd_NFkB], Cg8945, LRR, CG6740, CG11578, ph-d, Larp4B	3.85	routine	161.0	44.14436018226214	5.464157227963466	0.9347314578005115	0.0	1.438424656001041	3.0953797068029996	0.5617906468192739	56.17906468192739
162.0-164.0 kDa	162.0	164.0	21	0	0	1	Protein_kinases			CG16868, Tlk [Protein_kinases], l(2)k05819, Dmel\CG17233, DAAM, msn [Protein_kinases], mamo, mtt, mmd, Hr4, Pde9, NAT1, l(3)mbt, CG7701, tinc, pns, prc, Dmel\CG34347	1.8	routine	163.0	39.683953755775526	5.310483865059977	0.9315601023017903	0.0	0.16905386887147628	1.6974240453971092	0.4031755663902946	40.31755663902946
164.0-166.0 kDa	164.0	166.0	22	0	1	0			MED26	anne, tn, Top2, Dmel\CG16711, Lpt, spn-E, Cpsf160, Usp10, mesh, Skel, BubR1, tok, Claspin, MED26, Dmel\CG7806, chb, Dark, sima	2.6	routine	165.0	39.83195475844826	5.315854376776743	0.9319693094629156	0.0	0.9939609787826517	0.10004366563434525	0.3943464487228407	39.43464487228407
166.0-168.0 kDa	166.0	168.0	16	0	1	1	Protein_phosphatases		MED23	CG9137, Blm, robo2, Dm_2L:23546, CG33291, Fak, MED23, mam, ph-p, loco, CG11005, Ptp69D [Protein_phosphatases], Fancd2, Dmel\CG12105, cv-d, rempA	3.05	routine	167.0	41.49374724886856	5.37482204598079	0.9337084398976983	0.0	1.3371056497245088	0.9065055574361195	0.4926516822522265	49.26516822522265
168.0-170.0 kDa	168.0	170.0	23	0	0	0				dtr, tutl, sns, Dmel\CG42788, Rbcn-3B, SoYb, CG18419, sli, sba, Tep4, fra, Kul, CG15028, Dmel\CG32681, Dmel\CG15894, Fancm, OtopLc, nsl1	1.15	routine	169.0	42.23531185905243	5.400377798592694	0.9345268542199489	0.0	0.6714560153527002	0.8520346376491049	0.4102166417846523	41.02166417846523
170.0-172.0 kDa	170.0	172.0	15	0	1	2	Protein_kinases; Toll_Imd_NFkB		Toll-6	Golgin245, Toll-6 [Toll_Imd_NFkB], Ank, zld, Acf, Dmel\CG42637, Gyc76C, Pxn, CG13980, Dmel\CG15080, Dmel\CG4744, cnk, Abl [Protein_kinases], GEFmeso, PDZ-GEF	3.75	routine	171.0	39.733435778134194	5.31228164456209	0.9317647058823529	0.0	1.1087727710211872	1.5647582498418369	0.5018656182568721	50.186561825687214
172.0-174.0 kDa	172.0	174.0	17	0	1	1	Ubiquitin_proteasome		MED14	C3G, mahj, atk, Dmel\CG6454, NP_649372, Ulp1, MED14, salsa, Cadps, Dmel\CG31140, Shrm, Tmem131, raskol, MRP, Gyf, Usp47 [Ubiquitin_proteasome], CG4093	3.1	routine	173.0	33.557687352905276	5.068571389942252	0.9297186700767264	0.0	0.8225144074461286	1.1164342686340587	0.44384133201098963	44.38413320109896
174.0-176.0 kDa	174.0	176.0	15	0	0	0				Dmel\CG34027, Alh, RhoGAP15B, ninaC, Col4a1, sol, Dmel\CG33235, Uggt, plx, Nup214, chas, nompA, Dmel\CG8086, osp, RecQ4	0.75	routine	175.0	27.511230037901086	4.781948739445468	0.9261381074168797	0.0	0.10395681930305398	0.48670271897591183	0.3289174469644128	32.89174469644128
176.0-178.0 kDa	176.0	178.0	12	0	1	0			Pvr	Efa6, Dmel\CG42390, Iml1, ImpE1, frac, raptor, Pvr, Mekk1, CG13812, Dmel\CG11970, Duox, Sos	2.1	routine	177.0	25.297639304881212	4.660930858382305	0.9241943734015345	0.0	0.9622808348743763	0.18404313025431046	0.3968797518250827	39.687975182508275
178.0-180.0 kDa	178.0	180.0	11	0	0	1	Protein_kinases			Dmel\CG14322, larp, wge, CT39634, wake, CG32778, RhoGAPp190, Gcn2 [Protein_kinases], dec, CG13632, Asx	1.3	routine	179.0	22.054801658821155	4.463020881065768	0.9205115089514067	0.0	0.26279057330440747	1.379539764177005	0.40305994915317717	40.30599491531772
180.0-182.0 kDa	180.0	182.0	7	0	1	1	Notch		Arms	lilli, sha, sno [Notch], ms(2)34Fe, side-III, Arms, Zmynd8	2.6	routine	181.0	18.938304667648385	4.243235283294103	0.9162148337595908	0.0	0.8470492147099887	0.9258006668658081	0.42585802553428653	42.58580255342865
182.0-184.0 kDa	182.0	184.0	14	0	0	0				LanB2, flz, Eato, kkv, CG11620, fwd, Bap170, Agl, Fur2, Hasp, G9a, Patronin, Daxx, cmb	0.7	routine	183.0	23.8703105566003	4.577145431124925	0.9229667519181586	0.0	0.36393868404851093	0.032914048744738925	0.31229798057052127	31.22979805705213
184.0-186.0 kDa	184.0	186.0	14	0	0	0				cora, Q9VHT6_DROME, pcm, Gucy2d, pros, Dmel\CG17687, brm, wapl, sas, Dmel\CG8908, PolR1A, Alk, Srrm234, Dmel\CG42685	0.7	routine	185.0	26.86693415611899	4.747759796583914	0.9254219948849105	0.0	0.0028672923804811913	0.2294914109296983	0.2940865774511102	29.40865774511102
186.0-188.0 kDa	186.0	188.0	11	0	0	1	Protein_kinases			gek [Protein_kinases], Dmel\CG10543, Cad99C, mon2, Crag, Ino80, Arip4, CG15703, arr, Cirl, Sec71	1.3	routine	187.0	27.865215339305177	4.800393397334326	0.9271611253196931	0.0	0.0	1.3471854128068113	0.3620534392246601	36.20534392246601
