mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
24.0-26.0 kDa,24.0,26.0,1275,0,28,11,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Tubulin family; p53 pathway,,"BCL10, BCL2, BCL7A, BCL7B, CCNC, CCND3, CDK2AP2, CDKN3, FOSB, FOSL1, MAPK9, MDM1, MDM2, PRKRA, PRKRIP1, RASL10B, RBM24, RBM38, RBPMS, RBX1, RELN, RHOJ, Rhov, TP53INP2","INSL6, APOO, NME5, CRIP3, , LOC781977, NDUFB9, PDGFA, NAT9 [Tubulin family], DPT, CD9, LHFPL3, TATDN1, FAAP24, TMEM114, ADAMTSL1, VTI1A, C15H11orf52",70.25,high
26.0-28.0 kDa,26.0,28.0,1242,1,32,11,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Tubulin family; p53 pathway,RPLP0,"BCL11A, BCL2L1, BCL2L10, BCL2L12, BCL7A, BCL7C, CASP14, CCN5, CCND3, CCNG1, CDK1, CDK2, CDK20, CDKN1C, FOSB, MAPK4, MDM2, PIK3IP1, RASL11A, RASL11B, RASL12, RASSF3, RBP7, RBPMS, RELL1, RHOF, RHOU, TP53INP1","UBTD1, DIABLO [Mitochondrial markers], C8H9orf152, EMC10, LDHC, CCDC124, TSPAN13, MPV17L2 [Mitochondrial markers], FAM76A, MRPS18A, ELSPBP1, KCTD11, SCN1B, CSN1S2, MT-CO2 [Mitochondrial markers], , TM4SF1, RND1",81.25,high
28.0-30.0 kDa,28.0,30.0,1173,2,20,11,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Tubulin family; p53 pathway,"PCNA, VDAC2","BCL7A, CASP1, CASP3, CCN5, CCNQ, CDK2, CDK5, FOSL1, MAPK13, PIK3IP1, PRKAB1, RASL12, RASSF3, RBM11, RBM7, RBPMS, RELL1, RHOD, TP53RK","LRRC3, SINHCAF, PRP4 [Actin family], SPINT2, CMBL, LOC505326, , LRRC61, PDCL2, IL1A, FAM3B, PACRGL, YIPF5, SCAMP5, RWDD1, UCHL1, STXBP6, PMEPA1",68.25,high
30.0-32.0 kDa,30.0,32.0,1239,6,25,10,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; Tubulin family; p53 pathway,"VDAC1, VDAC2","BCL2, BCL2L13, CASP3, CASP6, CCN4, CCN5, CCNB2, CCND2, CCNQ, CDK1, CDK3, CDKL1, MAP2K1, MDM4, PRKAB1, PRKAB2, PRKAG1, PRKN, RASD2, RASSF1, RASSF3, RASSF5","ANXA8L1, SHFL, ARF3, TNFRSF13B, , PSMB7, THAP1, , TATDN3, SPATS1, LENG1, PLP1, POLR3F, PRSS33, RPL7L1, MS4A10, ATPSCKMT, RPL7A",95.0,high
32.0-34.0 kDa,32.0,34.0,1365,0,38,12,AKT pathway; Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; Heat shock proteins; Histone family; Lamin family; Mitochondrial markers; NF-kB/Rel; Nuclear receptor PPAR; Tubulin family; p53 pathway,,"AKT1S1, AKTIP, BCL7C, CASP6, CASP7, CCNC, CCND1, CCND2, CCND3, CCNP, CCNQ, CCNY, CDK2, CDK4, CDK5, CDKN2B, FOSB, FOSL2, MDM2, NFKBIA, PPARGC1A, PRKAB1, RBFA, RBKS, RBM25, RELL2, TGFBR3L, TP53RK","MRRF [Cell-cycle CDK/cyclin; Mitochondrial markers], BOLA-DQB, ZNF691, AGPAT1, NKX2-6, PGAM5 [Mitochondrial markers], KDELR3, CD47, DTWD2, SOD2 [Mitochondrial markers], MESD, COPE, SLA2, PDCD1LG2, SAMD10, SAP30BP, SLC25A21 [Mitochondrial markers], TRIM52",86.0,high
34.0-36.0 kDa,34.0,36.0,2084,5,39,12,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; ER markers; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Tubulin family; p53 pathway,"GAPDH, RPLP0, TBP","CCNG1, CCNL2, CCNY, CCNYL1, CDK1, CDK10, CDK20, CDK5R1, CDK5R2, FOSL2, JUNB, JUND, MAP2K1, MAP2K3, MAP2K6, MAPK14, MAPK3, MAPK8, MDM2, NFKBIA, NFKBIB, NFKBID, PRKN, PRKRA, RASSF4, RASSF7, RBFOX3, RBM33, RELL2, TGFB1, TP53, TP53I3, VEGFA","LOC526989, NIT1, SYP, SGTA, MS4A1, IGFBP2, ZFP36L1, VTA1, OR5BJ2, MYG1, DHRS1, GPM6B, CCDC69, CDK1 [Cell-cycle CDK/cyclin], PIM3, TMX2, SEC13, TAL1",112.5,high
36.0-38.0 kDa,36.0,38.0,1515,4,40,10,AKT pathway; Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; ER markers; Heat shock proteins; Histone family; MAPK cascade; Mitochondrial markers; Tubulin family,"TBP, TUBB2A, TUBB2B","AKT1S1, BCL2L14, CASP4, CASP7, CCN2, CCNH, CCNQ, CCNY, CDK3, CDK6, CDKL1, CDKL4, FOS, JUN, MAP2K1, MAP2K6, MAPK1, MAPKAP1, PRKACB, PRKAG1, PRKN, PRKRA, RASD1, RASSF2, RASSF4, RASSF5, RBFOX1, RBFOX2, RBM8A, RBMS2, VEGFD","PLCXD1, HLF, TMEM231, MSRB3, HNRNPA2B1, NDEL1, HNRNPAB, HNRNPA2B1, PHYH, LOC132342121, OR6C7G, C1QTNF7, STBD1, ASB7, FOXR2, AUH, C19H17orf58, LDHC",107.5,high
38.0-40.0 kDa,38.0,40.0,1422,0,54,13,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; ER markers; FOXO/SMAD transcription; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Tubulin family; p53 pathway,,"BCL2L14, CCN3, CCN6, CCNDBP1, CCNG2, CCNH, CCNJ, CCNO, CCNY, CCNYL1, CDK10, CDK14, CDK2, CDK5R2, CDK7, CDKL1, CDKL4, JUND, MAP2K1, MAP2K3, MAP2K6, MAPK11, MAPK14, MAPK3, MAPK9, NFKBIE, PRKACA, PRKACB, PRKAG1, RASSF1, RASSF5, RASSF6, RBFOX1, RBFOX2, RBFOX3, RBKS, RBM42, RBM43, RHO, SMAD9, VEGFD","NTM, LCMT1, EFNB1, REM2, DTNBP1, AMT, ELAVL2, SCAMP1, SLX1A, TMEM268, OTULIN, YOD1, RDH16, HAPLN3, PSMD4, SGK2, GMPR2, PAQR5",110.75,high
40.0-42.0 kDa,40.0,42.0,1328,3,51,10,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; ER markers; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; Tubulin family,"ACTB, CALR, TUBB2B","BCL2L14, CASP4, CCN1, CCN4, CCNE1, CCNI, CCNI2, CCNYL1, CDK10, CDK20, CDKL1, FOS, HIF1AN, MAP2K1, MAPK1, MAPK11, MAPK12, MAPK13, MAPK14, MAPK3, MAPKAPK2, MAPKAPK3, PRKACA, PRKACB, PRKAR2A, RASSF6, RASSF7, RBFOX1, RBFOX2, RBKS, RBM4, RBM48, RBM4B, RBMS1, RBMS2, RBMX2","CD44, , PGA, IRF2, SLC35C1, ACKR4, ST3GAL2, ADORA2B, ZDHHC12, TIMM50 [Mitochondrial markers], GMPR2, ERI1, PPHLN1, PCBP4, HRH2, NELFE, RBM4B, UBXN11",119.0,high
42.0-44.0 kDa,42.0,44.0,1266,3,47,12,Actin family; Apoptosis caspase/BCL; Cell-cycle CDK/cyclin; ER markers; Heat shock proteins; Histone family; Lamin family; MAPK cascade; Mitochondrial markers; NF-kB/Rel; Tubulin family; p53 pathway,"ACTB, CALR","CASP1, CASP13, CASP4, CCN1, CCNB2, CCNI, CCNJ, CCNJL, CDK10, CDK6, CDK9, JUND, MAP2K1, MAP2K2, MAP2K4, MAPK13, MAPKAPK3, NFKBIL1, PRKAR1A, PRKAR2A, PRKAR2B, PTEN, RASSF6, RBFOX1, RBFOX2, RBFOX3, RBM48, RBMS2, RBMX, RELA, TP53, VEGFA","RPUSD4 [Mitochondrial markers], DTWD1, DHODH [Mitochondrial markers], ELF3, PEX26, , GARIN2, PTX3, ACTA2 [Actin family], ZAR1, LOC112443864, CEP57L1, METTL18, SLC35F1, TEX9, WDR31, TNIP3 [Actin family], ACTC1 [Actin family]",114.5,high
