mw_kda	window_candidate_count	gaussian_weighted_candidate_mass	identity_entropy_nats	identity_entropy_bits	effective_candidate_number	mw_discriminability	ambiguity_percentile	auditability_percentile	marker_gaussian_mass	signaling_gaussian_mass	family_membership_gaussian_mass	family_protein_gaussian_mass	marker_context_percentile	signaling_context_percentile	family_context_percentile	contextual_audit_burden_index	contextual_auditability_index	contextual_audit_burden_score_0_100	contextual_auditability_score_0_100	contextual_priority
398.0	3	0.8513030607924621	1.3592787658317524	1.9610247346511398	3.893384247174717	0.2568459562463331	0.5760208514335361	0.4239791485664639	0.0	0.0	0.3485679060155902	0.3485679060155902	0.0	0.0	0.24674479166666666	0.20569141077505068	0.7943085892249493	20.56914107750507	79.43085892249493	routine
398.25	2	0.8087764536727545	1.1595177190082628	1.6728304630361035	3.188395202853765	0.313637405772331	0.5482189400521286	0.45178105994787143	0.0	0.0	0.4970596477974813	0.4970596477974813	0.0	0.0	0.2819010416666667	0.2075299954296988	0.7924700045703013	20.75299954296988	79.24700045703013	routine
398.5	1	0.8538247242979868	0.9141835509536342	1.3188880754230712	2.49473759406657	0.4008437610345787	0.5105705183898059	0.48942948161019406	0.0	0.0	0.6704459130949795	0.6704459130949795	0.0	0.0	0.3235677083333333	0.2085345566807848	0.7914654433192152	20.85345566807848	79.14654433192152	routine
398.75	1	0.9597440792276436	0.7225296697788041	1.0423899714850209	2.059636827190256	0.485522489595505	0.4827686070083985	0.5172313929916015	0.0	0.0	0.8575653805821882	0.8575653805821882	0.0	0.0	0.3723958333333333	0.21379111008543294	0.786208889914567	21.379111008543294	78.62088899145671	routine
399.0	2	1.0973223639262406	0.623093660293581	0.8989341337149018	1.8646878385514198	0.5362827918569194	0.4587315377932233	0.5412684622067767	0.0	0.0	1.0436215953092376	1.0436215953092376	0.0	0.0	0.4485677083333333	0.22682481153163914	0.7731751884683609	22.682481153163913	77.31751884683608	routine
399.25	2	1.2392807205927672	0.5982520012034698	0.863095195338144	1.8189365210408157	0.5497717971091091	0.45380828265276574	0.5461917173472343	0.0	0.0	1.2131705160656068	1.2131705160656068	0.0	0.0	0.4661458333333333	0.22998852899652478	0.7700114710034752	22.998852899652476	77.00114710034752	routine
399.5	2	1.3655560431705422	0.6249368729347878	0.9015933274516746	1.8681280242702616	0.5352952190686318	0.4596003475238923	0.5403996524761077	0.0	0.0	1.3532012492620946	1.3532012492620946	0.0	0.0	0.4798177083333333	0.2348545139643064	0.7651454860356937	23.48545139643064	76.51454860356937	routine
399.75	2	1.460883108898994	0.6656862322641681	0.960382226075574	1.9458253514192938	0.5139207376811056	0.46713003185635676	0.5328699681436433	0.0	0.0	1.4550135052120086	1.4550135052120086	0.0	0.0	0.4876302083333333	0.23869006004742252	0.7613099399525775	23.869006004742253	76.13099399525774	routine
400.0	2	1.518005198612582	0.7000865383215571	1.0100113770296317	2.013926981790407	0.49654233199209	0.4778453518679409	0.5221546481320591	0.0	0.0	1.5142267760621173	1.5142267760621173	0.0	0.0	0.4915364583333333	0.24234545255031856	0.7576545474496814	24.234545255031854	75.76545474496814	routine
400.25	2	1.534492058588339	0.7170987154748483	1.0345547606434093	2.048481353552282	0.48816651333725586	0.48103098754706053	0.5189690124529395	0.0	0.0	1.5300284632598125	1.5300284632598125	0.0	0.0	0.4928385416666667	0.2434673823034318	0.7565326176965682	24.346738230343178	75.65326176965682	routine
