mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
168.0-170.0 kDa,168.0,170.0,72,0,1,2,Actin family; Histone family,,PIK3C2G,"CLASP2, DOT1L [Histone family], POLA1, RALGAPB, TMEM131L, ABCC2, ADGRL3, RIMS2, BCORL1, CLASP2, PTPRM, CAMTA1, CLASP1, PTPRM, CFTR, KDM5B [Histone family], SLIT3, CAMSAP2",6.6,routine
170.0-172.0 kDa,170.0,172.0,64,0,2,2,AKT pathway; Actin family,,"PIK3C2G, ROCK2","PIK3C2G, ARHGEF12, RIMS2, MAGI2, COL24A1, BAZ1B [AKT pathway], ANKRD31, THSD7B, TOP2B, TULP4, MUC5ACL, ABCC1, GEMIN5, CRACD [Actin family], FHOD3, FGD5, PTPRS, DIP2B [Actin family]",7.7,routine
172.0-174.0 kDa,172.0,174.0,53,0,0,2,Actin family; Histone family,,,"SLIT3, CCDC180, SLIT3, SYNJ1, ARHGAP5, MAGI2, LTBP1, COL1A4, LRP6, DIP2A [Actin family], TMEM131L, COL24A1, NHSL1, ZNF518A, ARHGEF12, ABCC1, COL11A1, TOP2A",4.15,routine
174.0-176.0 kDa,174.0,176.0,59,0,0,2,Actin family; Lamin family,,,"ADGB, TARBP1, NRXN3, SYNJ1, COL1A4, ADAMTS12, TNS3, TULP4, COL1A4, AQR, COL1A4, , ABCA9, AGL, AGL, UGGT1, BRCA1, ABCC9",4.45,routine
176.0-178.0 kDa,176.0,178.0,56,0,1,4,Actin family; Histone family; Lamin family; MAPK cascade,,MAP3K4,"EIF4G3, HECW2, CCDC141, , KDM5B [Histone family], MAP3K4 [MAPK cascade], COL5A1, ROBO1, RUSC2, LAMC1 [Lamin family], BAZ1A, COL11A1, COL16A1, DIP2A [Actin family], RIMS1, SMARCA2 [Actin family], C4, CEP170B",7.3,routine
178.0-180.0 kDa,178.0,180.0,67,0,1,3,Actin family; Lamin family; MAPK cascade,,MAP3K4,"CTTNBP2 [Actin family], NHSL1, SMARCA2 [Actin family], HEG1, NES, , COL11A1, MAP3K4 [MAPK cascade], FAM208A, RREB1, CEP170B, SORL1, TIAM1, KIF14, RREB1, PAPPA2, FHOD3, PBRM1",7.1,routine
180.0-182.0 kDa,180.0,182.0,63,0,1,1,MAPK cascade,,MAP3K4,"ABCA8, CEP170B, PLCH2, EIF4G3, LRP6, VTG3, ABCC9, EIF4G1, PXDN, URB2, WDR62, IQGAP3, ROBO1, ABCA9, , DLEC1, ROBO1, LTBP1",5.4,routine
182.0-184.0 kDa,182.0,184.0,50,0,2,0,,,"PIK3C2B, RB1CC1","COL11A1, ALS2, HEG1, SYNM, EIF4G1, SHANK3, CLTCL1, SAMD9L, ADGB, EIF2AK4, KIF21A, THOC2, ERCC6L2, HECW1, SCRIB, EIF4G3, RB1CC1, CAMTA1",5.5,routine
184.0-186.0 kDa,184.0,186.0,58,0,0,2,Lamin family; MAPK cascade,,,"THOC2, ZCCHC11, PLCH1, SHANK3, LAMB2 [Lamin family], MYO15L, VTG3, KIF14, ARID2, RAPGEF6, SHANK3, USP6, CAMTA1, KIF21A, CAMTA1, THSD7A, CCDC162, POLR1A",4.4,routine
186.0-188.0 kDa,186.0,188.0,37,0,0,0,,,,", MON2, MBD5, , , LTBP2, NES, ABCA5, NRCAM, PCDHGC5, BCOR, COL11A1, PCF11, , PLCH1, THSD7A, THSD7A, ",1.85,routine
188.0-190.0 kDa,188.0,190.0,49,0,0,3,Actin family; Histone family; Lamin family,,,"CFAP74, LOC101747860, PRDM2, EPRS, CACNA1I, FRMPD3, ARID2, MARF1, KIDINS220 [Actin family], PHRF1, CFAP43, AIM1, CLTC, BCOR, ZC3H13, VTG2, SIPA1L2, ARAP2",4.7,routine
190.0-192.0 kDa,190.0,192.0,33,0,2,2,Actin family; Lamin family,,PIK3C2A,"SHPRH, CDC42BPA, ITSN1, CLTCL1, FOCAD, COL11A1, TMEM131L, FAM208A, PLCH1, IQGAP2, PCDH15, SIPA1L2, ADAMTSL1, SLX4, ARFGEF2, NRAP, EIF4G3, NRAP",6.15,routine
192.0-194.0 kDa,192.0,194.0,50,0,0,3,Actin family; Lamin family; p53 pathway,,,"COL14A1, USP54, ARHGEF28, FMN2, CDC42BPB, RICTOR, TIAM2, SCRIB, CLTC, KDM5A, BCOR, CCDC162, KIDINS220 [Actin family], MYO3A, FAM208A, DOCK2B, LOC101748153 [Lamin family], ANK1",4.75,routine
194.0-196.0 kDa,194.0,196.0,63,0,0,3,Actin family; Lamin family; p53 pathway,,,"CHD5, CDC42BPB, ADAMTSL3, PATJ, NUP98, RICTOR, SHROOM2, , ARHGEF5, , CFAP43, LRP4, ARAP3, NALCN, KDM3B, FRMPD4, QSER1, NUP188",5.4,routine
