mw_bin_label	bin_start_kda	bin_end_kda	protein_count	protein_density_per_kda	mean_effective_candidates	median_effective_candidates	mean_identity_entropy_nats	mean_discriminability	ambiguity_percentile	auditability_percentile	mean_mw_kda	median_window_count	mean_window_count	median_gaussian_ambiguity	mean_gaussian_ambiguity	median_identity_entropy_nats	median_discriminability	median_nearest_neighbor_gap_kda
128.0-130.0 kDa	128.0	130.0	20	10.0	37.05710864742227	38.4723144283489	3.6107600685327554	0.027078295300654948	0.7714285714285715	0.22857142857142854	128.9613394450007	39.0	38.9	21.65304255177105	21.640622755811133	3.6499388741772654	0.02599271762607059	0.015512650000069073
130.0-132.0 kDa	130.0	132.0	16	8.0	32.30945357412918	31.98175295172559	3.4750090775570635	0.03097241423518353	0.7678571428571429	0.2321428571428571	130.79746501125075	33.0	32.125	18.983991640533603	19.115148599406126	3.465165143627466	0.031267853080545284	0.04532019999987824
132.0-134.0 kDa	132.0	134.0	12	6.0	28.09069056722397	27.857655535747618	3.335142206045646	0.03561977204065791	0.7607142857142857	0.23928571428571432	133.10016041333415	26.0	26.416666666666668	15.337178658886039	15.512434188766058	3.327099673578506	0.03589735963477331	0.06537339999968594
134.0-136.0 kDa	134.0	136.0	15	7.5	27.694012497486835	27.613315529255228	3.3211326727294077	0.036114920242871	0.7571428571428571	0.24285714285714288	134.95084264666744	27.0	27.4	16.74656880366692	16.54403614963473	3.3182981030952523	0.036214412533711826	0.035853099999854976
136.0-138.0 kDa	136.0	138.0	12	6.0	25.277626735181556	25.19111118163571	3.2273333741215144	0.039766229009681804	0.75	0.25	137.04501533833425	25.5	25.333333333333332	14.19606154378621	14.396020209244279	3.225400270253849	0.03978324882421208	0.01943729999990751
138.0-140.0 kDa	138.0	140.0	10	5.0	22.17722247182916	22.29415196242681	3.098917389538015	0.045104881084245124	0.7464285714285714	0.25357142857142856	138.84259380000086	21.5	21.8	12.427244456966903	12.336280426805123	3.104324398538865	0.04485481237775596	0.04637474999992719
140.0-142.0 kDa	140.0	142.0	10	5.0	18.641897308063164	18.137022301749877	2.924369257353127	0.05375250167796142	0.7392857142857143	0.2607142857142857	140.96726670000083	17.5	17.6	10.983060653315116	10.942112275221413	2.8979545796569837	0.055135919478587314	0.056131499999935386
142.0-144.0 kDa	142.0	144.0	8	4.0	17.805060006406965	17.908935137038384	2.8793578258136607	0.05617784917344886	0.7285714285714285	0.27142857142857146	143.0403689550009	16.0	16.5	8.831366777449102	8.949974472893718	2.8852945464870903	0.0558386311284256	0.10053270000014436
144.0-146.0 kDa	144.0	146.0	10	5.0	16.68575950056273	16.67940854945784	2.8142778835878444	0.0599645531235557	0.7178571428571429	0.28214285714285714	145.22542854000096	17.0	16.5	10.996852761555347	10.884279788550206	2.81416173178258	0.05995574777672792	0.01837350000045035
146.0-148.0 kDa	146.0	148.0	6	3.0	15.08744525262424	15.119944999343566	2.71077342952197	0.0666925371345258	0.7035714285714286	0.2964285714285714	147.0801976633345	14.0	14.166666666666666	6.644175924796777	7.38190420066972	2.7153385636005365	0.06622730796544919	0.2691787000001824
148.0-150.0 kDa	148.0	150.0	7	3.5	12.897868362950675	12.879933145675427	2.5567648675586923	0.07757818245808024	0.6821428571428572	0.31785714285714284	149.25107653714392	13.0	12.428571428571429	7.207291848635055	7.136171825606435	2.5556705301095866	0.0776401545481438	0.20756829999987758
150.0-152.0 kDa	150.0	152.0	5	2.5	16.483941572803793	16.58117671015335	2.802326853777978	0.06067237818343011	0.7142857142857143	0.2857142857142857	151.22208934000093	17.0	16.6	8.466500604575502	8.406459577829285	2.808268118850622	0.06030935062574045	0.1763493000005667
152.0-154.0 kDa	152.0	154.0	11	5.5	17.574388621705936	17.01194378730021	2.8649457487184806	0.05706886834261768	0.725	0.275	152.89868240727372	17.0	17.181818181818183	10.636570905237967	10.437126700316831	2.8339156730889736	0.058782230443679334	0.05694649999958301
154.0-156.0 kDa	154.0	156.0	8	4.0	16.747690756329447	16.668555362212572	2.8178348781258484	0.059760185859542264	0.7214285714285714	0.2785714285714286	155.1479789175011	16.0	16.625	9.938753621906226	9.917062518255426	2.8134959090182794	0.059996575945455724	0.06501520000004746
156.0-158.0 kDa	156.0	158.0	7	3.5	13.352325240192842	13.57795023484819	2.588113848622853	0.0754378394863866	0.6892857142857143	0.3107142857142857	156.89239159428695	14.0	13.0	7.810697341427492	7.331793139388972	2.608447170741511	0.07364881905616887	0.11022210000007249
158.0-160.0 kDa	158.0	160.0	2	1.0	12.524218896987001	12.524218896987001	2.5276636620420847	0.07984539771830693	0.6785714285714286	0.3214285714285714	159.17263683000138	10.5	10.5	4.981289253822205	4.981289253822205	2.5276636620420847	0.07984539771830693	0.5295398999999179
160.0-162.0 kDa	160.0	162.0	10	5.0	15.381810927681766	14.544943255667079	2.7268998641717643	0.065824682694146	0.7071428571428572	0.2928571428571428	160.80634086000094	14.0	15.2	9.335251571563205	9.254308428790974	2.677200876657083	0.06875826285541943	0.07092704999965349
162.0-164.0 kDa	162.0	164.0	10	5.0	18.29914308001839	18.13062070172019	2.905879931893837	0.05475334994794621	0.7357142857142858	0.26428571428571423	163.08723685000115	18.5	18.0	11.005779686533213	10.809286056438438	2.8976021756218007	0.05515531905415367	0.1110577999995428
164.0-166.0 kDa	164.0	166.0	6	3.0	17.83713534609198	17.6899119915339	2.8809708258212807	0.0560973824497041	0.7321428571428571	0.2678571428571429	164.663465196668	17.0	17.166666666666668	9.714817937576463	9.499397081498104	2.87299434395696	0.05652941511537261	0.11794020000021987
166.0-168.0 kDa	166.0	168.0	10	5.0	15.44440597880046	15.198541983704283	2.736860783033418	0.06479777773011504	0.7107142857142857	0.28928571428571426	166.81618094000103	15.0	15.2	9.44043827547512	9.18813714307736	2.721197979334648	0.06579598521100977	0.07155650000112246
168.0-170.0 kDa	168.0	170.0	6	3.0	14.026588137344598	13.792286026944492	2.640461002939755	0.0713631354397543	0.6964285714285714	0.3035714285714286	168.9540826133347	14.0	13.5	6.549992694509579	6.774472295494739	2.6241061834054795	0.0725047708475976	0.13153650000018047
170.0-172.0 kDa	170.0	172.0	7	3.5	12.904711252019029	12.829015770372946	2.557359327594446	0.07752675318835335	0.6857142857142857	0.3142857142857143	171.13590902285839	14.0	13.285714285714286	7.865615963863792	7.766600125125289	2.551709462541757	0.07794830234049431	0.019674800000188952
172.0-174.0 kDa	172.0	174.0	4	2.0	13.736969469821444	13.733151806812941	2.619477446291594	0.07288559775404259	0.6928571428571428	0.30714285714285716	172.6032244550013	13.5	13.75	6.5406189010252955	6.563816823628537	2.619409833143628	0.07287519805074177	0.12027094999999122
174.0-176.0 kDa	174.0	176.0	8	4.0	11.242726247574256	11.22066418996977	2.41931274799783	0.0890186858919371	0.675	0.32499999999999996	174.69539966750116	10.0	10.5	7.280598680111773	7.1166050210731315	2.41772856489995	0.08912636948363727	0.09325570000000027
176.0-178.0 kDa	176.0	178.0	5	2.5	9.976229464675388	9.156378193669456	2.293963121616193	0.10146545456151553	0.6607142857142857	0.3392857142857143	177.3039225800012	8.0	9.0	5.368658134006091	5.101726578308652	2.2144507067931296	0.10921348800242664	0.16823250000041412
178.0-180.0 kDa	178.0	180.0	3	1.5	10.036064753758831	9.626278650483515	2.303752113448779	0.10011928397613208	0.6642857142857143	0.33571428571428574	178.60420774666804	10.0	10.0	5.226203263602715	5.085446064152403	2.264496718153975	0.10388230346415032	0.10701409999984435
180.0-182.0 kDa	180.0	182.0	7	3.5	8.902005295524216	8.922726545674637	2.1850318169277965	0.11261488258058093	0.6571428571428571	0.34285714285714286	180.89636576571579	9.0	8.857142857142858	5.373258238502906	5.0346044723608525	2.1886015664408665	0.11207336623856953	0.15769139999994763
182.0-184.0 kDa	182.0	184.0	2	1.0	6.536011480947314	6.536011480947314	1.8635836523653315	0.15726229629821542	0.6428571428571429	0.3571428571428571	183.27469328000143	6.0	6.0	2.588302000695151	2.588302000695151	1.8635836523653315	0.15726229629821542	0.5720687499999428
184.0-186.0 kDa	184.0	186.0	2	1.0	5.792728347864935	5.792728347864935	1.7547864361987022	0.1732586915397881	0.6357142857142857	0.3642857142857143	184.56228068000155	4.0	4.0	2.4284569941953214	2.4284569941953214	1.7547864361987022	0.1732586915397881	0.3131627999995601
186.0-188.0 kDa	186.0	188.0	7	3.5	10.069372953161352	10.133795245619705	2.309004454094651	0.099408823767985	0.6678571428571428	0.3321428571428572	187.01809608000153	10.0	9.857142857142858	6.925055459512931	6.629825595954772	2.3158759021544855	0.098679712364649	0.07122139999998467
188.0-190.0 kDa	188.0	190.0	4	2.0	10.500325186819067	10.502635515361394	2.3499390156978204	0.09551520928086943	0.6714285714285714	0.3285714285714286	188.7516187800016	11.0	10.5	5.102677806244804	5.138659201066818	2.3510599816722624	0.0953220866289152	0.23633110000048418
190.0-192.0 kDa	190.0	192.0	5	2.5	7.08604269414951	6.364832621461815	1.9495338095630323	0.1435183025575299	0.6464285714285715	0.35357142857142854	191.1048116400012	6.0	7.0	3.424182145717438	3.4666925456797317	1.8507879349568992	0.15711332245062704	0.07615389999881472
