mw_bin_label,bin_start_kda,bin_end_kda,protein_count,marker_count,signaling_prefix_count,family_count,families,marker_genes,signaling_genes,examples_audit_families,audit_burden_score,audit_priority
216.0-218.0 kDa,216.0,218.0,3,0,0,1,Ubiquitin_system,,,"UBR2 [Ubiquitin_system], GSC2, RIF1",0.9,routine
218.0-220.0 kDa,218.0,220.0,2,0,0,0,,,,"MLP1, BNI1",0.1,routine
220.0-222.0 kDa,220.0,222.0,1,0,0,0,,,,DCK1,0.05,routine
222.0-224.0 kDa,222.0,224.0,1,0,0,0,,,,MYO1,0.05,routine
224.0-226.0 kDa,224.0,226.0,2,0,0,1,Ubiquitin_system,,,"UBR1 [Ubiquitin_system], SLH1",0.85,routine
226.0-228.0 kDa,226.0,228.0,2,0,0,0,,,,"SEC7, CYR1",0.1,routine
228.0-230.0 kDa,228.0,230.0,2,0,0,0,,,,"FAS1, LAA1",0.1,routine
234.0-236.0 kDa,234.0,236.0,1,0,0,0,,,,CCH1,0.05,routine
238.0-240.0 kDa,238.0,240.0,1,0,0,0,,,,GLT1,0.05,routine
240.0-242.0 kDa,240.0,242.0,2,0,0,1,Cell_cycle,,,"CDC39 [Cell_cycle], SEC16",0.85,routine
244.0-246.0 kDa,244.0,246.0,3,0,0,1,Proteasome,,,"URA2, BEM2, BLM10 [Proteasome]",0.9,routine
246.0-248.0 kDa,246.0,248.0,1,0,0,0,,,,BRR2,0.05,routine
250.0-252.0 kDa,250.0,252.0,2,0,0,0,,,,"ACC1, BPH1",0.1,routine
252.0-254.0 kDa,252.0,254.0,1,0,0,0,,,,SEN1,0.05,routine
254.0-256.0 kDa,254.0,256.0,1,0,0,0,,,,POL2,0.05,routine
256.0-258.0 kDa,256.0,258.0,1,0,0,0,,,,FAB1,0.05,routine
258.0-260.0 kDa,258.0,260.0,1,0,0,0,,,,HFA1,0.05,routine
268.0-270.0 kDa,268.0,270.0,1,0,0,0,,,,TAO3,0.05,routine
272.0-274.0 kDa,272.0,274.0,1,0,0,1,Protein_kinases,,,MEC1 [Protein_kinases],0.8,routine
278.0-280.0 kDa,278.0,280.0,1,0,0,0,,,,PRP8,0.05,routine
280.0-282.0 kDa,280.0,282.0,2,0,2,2,Protein_kinases; TOR_AGC_signaling,,"TOR1, TOR2","TOR1 [Protein_kinases; TOR_AGC_signaling], TOR2 [Protein_kinases; TOR_AGC_signaling]",4.6,routine
284.0-286.0 kDa,284.0,286.0,1,0,0,0,,,,HOB2,0.05,routine
286.0-288.0 kDa,286.0,288.0,1,0,0,0,,,,UTP20,0.05,routine
296.0-298.0 kDa,296.0,298.0,1,0,0,0,,,,GCN1,0.05,routine
302.0-304.0 kDa,302.0,304.0,1,0,0,0,,,,FMP27,0.05,routine
312.0-314.0 kDa,312.0,314.0,1,0,0,0,,,,NUM1,0.05,routine
320.0-322.0 kDa,320.0,322.0,1,0,0,1,Protein_kinases,,,TEL1 [Protein_kinases],0.8,routine
338.0-340.0 kDa,338.0,340.0,1,0,0,0,,,,CSF1,0.05,routine
350.0-352.0 kDa,350.0,352.0,2,0,0,0,,,,"IRA1, IRA2",0.1,routine
356.0-358.0 kDa,356.0,358.0,1,0,0,0,,,,VPS13,0.05,routine
374.0-376.0 kDa,374.0,376.0,1,0,0,2,Mitochondrial_membrane; Ubiquitin_system,,,TOM1 [Mitochondrial_membrane; Ubiquitin_system],1.55,routine
432.0-434.0 kDa,432.0,434.0,1,0,0,0,,,,TRA1,0.05,routine
470.0-472.0 kDa,470.0,472.0,1,0,0,0,,,,DYN1,0.05,routine
558.0-560.0 kDa,558.0,560.0,1,0,0,0,,,,MDN1,0.05,routine
